URL;Name/Alias;Appearances;Current?;Gender;Probationary Introl;Full/Reserve Avengers Intro;Year;Years since joining;Honorary;Death1;Return1;Death2;Return2;Death3;Return3;Death4;Return4;Death5;Return5;Notes;N/A
http://marvel.wikia.com/Marrina_Smallwood_(Earth-616)#;Marrina Smallwood;86;NO;FEMALE;N/A;Dec-87;1987;28;Full;YES;YES;YES;YES;N/A;N/A;N/A;N/A;N/A;N/A;Killed by Namor with the Ebony Blade. Returned when The Master put her in a statis tube. Death 2 was when Namor mercy killed her. Returned to life a second time by the Chaos King. ;N/A
http://marvel.wikia.com/Ravonna_Renslayer_(Earth-6311)#;Ravonna Lexus Renslayer;41;NO;FEMALE;N/A;May-88;1988;27;Full;YES;YES;YES;NO;N/A;N/A;N/A;N/A;N/A;N/A;Killed in Avengers_Vol_1_24. Revived by the Grandmaster. Died in Avengers:_Forever_Vol_1_3.;N/A
http://marvel.wikia.com/Rita_DeMara_(Earth-616)#;Rita DeMara;68;NO;FEMALE;N/A;Nov-88;1988;27;Honorary;YES;YES;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Killed by Iron Man when he was controlled by Immortus. Revived during Chaos war. ;N/A
http://marvel.wikia.com/Dennis_Dunphy_(Earth-616)#;Dennis Dunphy;70;NO;MALE;N/A;Jan-88;1988;27;Full;YES;YES;YES;NO;N/A;N/A;N/A;N/A;N/A;N/A;"Died in Captain_America_348. Actually ""Dunphy miraculously survived the crash and lived with an Inuit tribe."" Second death when killed by Sharon Carter.  ";N/A
http://marvel.wikia.com/Gilgamesh_(Earth-616)#;N/A;61;NO;MALE;N/A;Feb-89;1989;26;Full;YES;YES;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Killed by Neut who was working for Immortus. Reborn into a new body. ;N/A
http://marvel.wikia.com/Reed_Richards_(Earth-616)#;Reed Richards;2125;YES;MALE;N/A;Feb-89;1989;26;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/Susan_Storm_(Earth-616)#;Susan Richards (nee Storm);1761;NO;MALE;N/A;Feb-89;1989;26;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/Wendell_Vaughn_(Earth-616)#;Wendell Elvis Vaughn;293;NO;MALE;N/A;Oct-89;1989;26;Full;YES;YES;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Killed by the Cosmic Assassin. Actually turned into a being composed of pure energy. ;N/A
http://marvel.wikia.com/Ashley_Crawford_(Earth-616)#;Ashley Crawford;36;YES;FEMALE;N/A;Jul-89;1989;26;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/Dinah_Soar_(Earth-616)#;N/A;22;NO;FEMALE;N/A;Jul-89;1989;26;Full;YES;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Died in Great_Lakes_Avengers_Vol_1_1. Has not returned;N/A
http://marvel.wikia.com/DeMarr_Davis_(Earth-616)#;DeMarr Davis;31;YES;MALE;N/A;Jul-89;1989;26;Full;YES;YES;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Sacrificed self so that Mr. Immortal could stop the villain Maelstrom. Returned as the Angel of Death. ;N/A
http://marvel.wikia.com/Val_Ventura_(Earth-616)#;Val Ventura;34;YES;MALE;N/A;Jul-89;1989;26;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/Craig_Hollis_(Earth-616)#;Craig Hollis;33;YES;MALE;N/A;Jul-89;1989;26;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Christ;N/A
http://marvel.wikia.com/Gene_Lorrene_(Earth-616)#;Gene Lorrene;4;NO;MALE;N/A;05-Apr;2005;10;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/Doreen_Green_(Earth-616)#;Dorreen Green;47;NO;FEMALE;N/A;05-May;2005;10;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/Monkey_Joe_(Earth-616)#;N/A;7;NO;MALE;N/A;05-May;2005;10;Full;YES;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Killed by Leather Boy;N/A
http://marvel.wikia.com/Doug_Taggert_(Earth-616)#;Doug Taggert;3;NO;MALE;N/A;05-May;2005;10;Full;YES;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Accidently killed by Zaran;N/A
http://marvel.wikia.com/Tippy-Toe_(Earth-616)#;N/A;16;NO;FEMALE;N/A;05-Jul;2005;10;Full;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;NA;N/A
http://marvel.wikia.com/Wade_Wilson_(Earth-616)#;Wade Wilson;575;NO;MALE;N/A;07-Sep;2007;8;Full;YES;NO;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Died during incursion. It's not ever particulalry clear if he ever joined an Avengers team besides one issue so his inclusion here is specious at best. ;N/A
